Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"Yorkshire and The Humber, Health professionals",114,686.7,4.9,776.5,6.2,387.60,505.30,554.20,585.60,645.90,795.00,890.10,938.70,981.50,x,2023-01-01
"Yorkshire and The Humber, Teaching and other educational professionals",114,743.8,7,777.4,8.6,344.80,500.60,541.20,578.00,648.70,835.60,904.90,971.80,1029.40,1248.20,2023-01-01
"Yorkshire and The Humber, Business, media and public service professionals",155,761.6,7.6,808.7,6.6,434.80,526.10,572.70,613.30,680.40,826.70,930.00,989.40,1049.40,1264.70,2023-01-01
"Yorkshire and The Humber, Associate professional occupations",330,574.9,4.7,624,2.2,287.10,421.60,446.90,477.60,517.50,633.00,708.10,759.40,824.70,984.20,2023-01-01
"Yorkshire and The Humber, Science, engineering and technology associate professionals",66,595.8,9.7,636.8,3,420.60,462.30,485.10,509.70,555.90,656.00,716.10,746.20,787.00,x,2023-01-01
"Yorkshire and The Humber, Health and social care associate professionals",57,461,8.7,441.3,9,210.10,278.00,328.00,368.80,417.60,489.40,524.00,554.10,570.40,x,2023-01-01
"Yorkshire and The Humber, Protective service occupations",30,753.1,5.4,735.7,1.9,494.40,541.00,562.80,588.10,675.90,824.70,848.20,857.00,891.00,x,2023-01-01
"Yorkshire and The Humber, Business and public service associate professionals",161,613.3,1.1,683.6,1,354.50,440.40,469.50,494.40,547.10,677.30,765.60,825.70,887.50,1122.80,2023-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",223,439.3,8.2,448.7,8.2,174.40,248.90,285.20,330.90,402.50,479.10,524.10,558.50,594.20,714.10,2023-01-01
"Yorkshire and The Humber, Administrative occupations",182,459,7.6,473.3,9.1,199.30,271.30,334.40,372.70,421.60,498.30,540.60,574.90,611.80,738.10,2023-01-01
"Yorkshire and The Humber, Secretarial and related occupations",41,325.3,4.9,339.7,3.3,101.50,173.20,196.90,229.60,276.00,371.20,416.50,444.20,475.30,x,2023-01-01
"Yorkshire and The Humber, Skilled trades occupations",151,607.5,8.3,639.2,9.2,357.10,450.00,475.90,505.50,560.00,664.70,725.50,763.80,810.80,971.60,2023-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",84,679.3,9,717.1,8.3,437.20,513.00,554.40,590.10,628.10,736.00,802.90,837.20,891.00,1078.30,2023-01-01
"Yorkshire and The Humber, Skilled construction and building trades",28,605.6,4.8,639.6,6.2,408.60,465.00,505.40,536.20,564.30,640.70,699.60,735.40,773.20,x,2023-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",34,477.7,13.5,469.5,14.9,191.40,311.90,361.70,402.70,443.50,520.70,554.70,565.90,595.90,x,2023-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",184,369.4,7,370.3,8.6,146.90,223.80,254.10,282.80,328.00,406.90,438.50,461.00,494.10,571.40,2023-01-01
"Yorkshire and The Humber, Caring personal service occupations",155,371.5,6.9,373.3,7.7,163.40,234.30,263.20,288.10,331.00,406.40,438.40,459.70,490.30,578.80,2023-01-01
