Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"North East, Skilled metal, electrical and electronic trades",33,32219,-3.8,34802,3.2,18770.00,24022.00,25278.00,26806.00,29650.00,36543,40611.00,42644.00,46047.00,x,2023-01-01
"North East, Skilled construction and building trades",13,29701,4.6,29193,2.1,x,20788.00,22394.00,24126.00,26977.00,31237,32376.00,33920.00,x,x,2023-01-01
"North East, Textiles, printing and other skilled trades",15,20516,11.3,20497,15.5,x,12562.00,14643.00,16030.00,18850.00,21729,23840.00,x,x,x,2023-01-01
"North East,  Caring, leisure and other service occupations",72,19009,11.9,18922,11.6,x,x,12720.00,14448.00,16845.00,20788,22347.00,23388.00,24666.00,x,2023-01-01
"North East, Caring personal service occupations",60,18961,9.5,18887,12,x,x,13149.00,14814.00,17081.00,20736,22453.00,23370.00,24655.00,x,2023-01-01
"North East, Leisure, travel and related personal service occupations",12,18508,31.8,18582,13.7,x,10066.00,10858.00,12525.00,15036.00,20561,21645.00,x,x,x,2023-01-01
"North East,  Sales and customer service occupations",66,15316,1,16714,4.2,6809.00,x,10249.00,10992.00,13067.00,18265,20895.00,22199.00,24002.00,x,2023-01-01
"North East, Sales occupations",47,13655,3.8,15044,2.9,6100.00,8406.00,9446.00,10287.00,11752.00,15648,18294.00,19709.00,20918.00,x,2023-01-01
"North East,  Process, plant and machine operatives",48,28136,9.3,28770,6.4,x,20355.00,21681.00,22792.00,25105.00,31023,34266.00,36025.00,37888.00,x,2023-01-01
"North East, Process, plant and machine operatives",27,28718,10.1,28735,9,17579.00,20689.00,21799.00,22999.00,26191.00,31471,34080.00,35427.00,36723.00,x,2023-01-01
"North East,  Elementary occupations",84,16264,7.3,16351,4.9,3707.00,6616.00,7918.00,8940.00,12502.00,19819,22305.00,23530.00,25076.00,28925.00,2023-01-01
"North East, Elementary trades and related occupations",10,21879,-3.4,21747,-6.6,x,x,15615.00,17620.00,19646.00,23321,26925.00,x,x,x,2023-01-01
"North East, Elementary administration and service occupations",74,14952,7.1,15635,5.9,3350.00,6178.00,7361.00,8438.00,11368.00,18800,21640.00,23012.00,24262.00,x,2023-01-01
North West,2418,28382,8.4,32471,7.1,10442.00,16495.00,19367.00,21344.00,24770.00,32744,37784.00,40914.00,44591.00,55885.00,2023-01-01
"North West, Managers, directors and senior officials",247,41497,3.3,51025,7.6,19004.00,25300.00,28207.00,30506.00,35685.00,48413,55427.00,60131.00,66011.00,x,2023-01-01
"North West, Corporate managers and directors",196,45093,3.2,54585,6.9,18141.00,25949.00,29236.00,32250.00,38542.00,52671,60217.00,64812.00,73205.00,x,2023-01-01
"North West, Other managers and proprietors",51,33927,8.4,37206,10.9,x,x,x,x,30390.00,36416,x,x,x,x,2023-01-01
"North West, Professional occupations",683,39343,3.2,42250,4.4,21438.00,27336.00,29658.00,31910.00,35444.00,42961,48045.00,50839.00,54204.00,66286.00,2023-01-01
"North West, Science, research, engineering and technology professionals",161,43190,6.1,45672,7.3,25267.00,30177.00,32641.00,34705.00,38808.00,47116,52382.00,55713.00,59703.00,x,2023-01-01
"North West, Health professionals",196,36823,2.8,41075,4.1,x,26317.00,27957.00,30582.00,33609.00,40593,44298.00,47672.00,50834.00,x,2023-01-01
"North West, Teaching and other educational professionals",149,38804,5,38712,0.2,17766.00,25516.00,27935.00,29852.00,34052.00,41573,45708.00,48336.00,50869.00,57931.00,2023-01-01
"North West, Business, media and public service professionals",178,39818,2.2,43406,4.6,22582.00,27801.00,30163.00,32518.00,36059.00,44634,50000.00,52785.00,56121.00,68844.00,2023-01-01
"North West, Associate professional occupations",338,30603,4.2,34005,5.6,14843.00,20981.00,23003.00,24361.00,27571.00,34400,39099.00,41695.00,45231.00,55198.00,2023-01-01
"North West, Science, engineering and technology associate professionals",71,32832,7.6,34847,10.6,17938.00,22927.00,24045.00,25773.00,29122.00,35675,40117.00,41684.00,45037.00,x,2023-01-01
"North West, Health and social care associate professionals",54,22474,11.3,21924,9.5,10344.00,13761.00,16138.00,17471.00,x,24309,26742.00,x,x,x,2023-01-01
"North West, Protective service occupations",17,39290,8.6,38582,6.8,x,28071.00,29831.00,32072.00,36051.00,42240,44425.00,45629.00,x,x,2023-01-01
"North West, Business and public service associate professionals",176,33426,2.7,37822,4.5,18916.00,23517.00,25305.00,26662.00,30213.00,37846,42474.00,46077.00,50757.00,62299.00,2023-01-01
"North West, Administrative and secretarial occupations",287,22912,7.5,23335,4.2,9098.00,13437.00,15887.00,17742.00,20976.00,25000,27500.00,28909.00,30862.00,36804.00,2023-01-01
"North West, Administrative occupations",238,23597,6.6,24124,3.5,9360.00,14553.00,17303.00,19250.00,21717.00,25850,28115.00,29674.00,31608.00,37616.00,2023-01-01
"North West, Secretarial and related occupations",49,18542,8.8,19526,8.2,7985.00,10758.00,12369.00,13285.00,16018.00,20878,22748.00,23983.00,26282.00,x,2023-01-01
"North West, Skilled trades occupations",158,29929,6.9,31090,5.6,16657.00,21397.00,23156.00,24627.00,27075.00,32863,35470.00,37353.00,39663.00,x,2023-01-01
"North West, Skilled agricultural and related trades",9,24047,6.2,23882,1.7,x,x,x,20820.00,22453.00,25191,27636.00,x,x,x,2023-01-01
"North West, Skilled metal, electrical and electronic trades",90,33327,7.8,34637,5.4,20375.00,24639.00,25972.00,27542.00,30898.00,35484,37997.00,40655.00,43992.00,x,2023-01-01
"North West, Skilled construction and building trades",27,31326,7.6,31874,7.8,18324.00,23086.00,25380.00,26579.00,29002.00,33493,36278.00,38030.00,40145.00,x,2023-01-01
"North West, Caring, leisure and other service occupations",192,18348,12.1,18466,11,7099.00,10785.00,12220.00,13470.00,15766.00,20421,22644.00,23947.00,25494.00,29550.00,2023-01-01
"North West, Caring personal service occupations",163,18254,12.1,18276,10.5,7121.00,10789.00,12251.00,13471.00,15730.00,20189,22364.00,23740.00,24994.00,29131.00,2023-01-01
"North West, Leisure, travel and related personal service occupations",28,19045,12.1,19330,15.1,6446.00,10571.00,11557.00,12856.00,15708.00,22033,23883.00,25959.00,27221.00,x,2023-01-01
"North West, Sales and customer service occupations",158,15858,2.4,17385,1.7,6245.00,8975.00,10124.00,11452.00,13705.00,19077,21285.00,22782.00,24645.00,28916.00,2023-01-01
"North West, Sales occupations",117,14403,2.2,16008,0.6,5753.00,8446.00,9333.00,10372.00,12540.00,16542,19799.00,20714.00,22595.00,27145.00,2023-01-01
"North West, Customer service occupations",41,21251,5.1,21289,7,8600.00,13512.00,14817.00,15930.00,19183.00,23075,25524.00,26805.00,28244.00,x,2023-01-01
"North West, Process, plant and machine operatives",117,28762,11.6,29957,8.7,16471.00,21350.00,22457.00,23581.00,26297.00,31547,34506.00,36663.00,39190.00,x,2023-01-01
"North West, Process, plant and machine operatives",53,27127,10.7,27943,7.7,x,20655.00,21997.00,22949.00,25155.00,29360,32318.00,33479.00,34953.00,x,2023-01-01
"North West, Transport and mobile machine drivers and operatives",64,30385,11.5,31642,9.3,14869.00,21906.00,22950.00,24382.00,27863.00,33275,37834.00,39754.00,41554.00,x,2023-01-01
"North West, Elementary occupations",237,17333,-1.8,17403,3.1,3910.00,6930.00,8121.00,9766.00,13159.00,20447,23332.00,24665.00,26139.00,31027.00,2023-01-01
"North West, Elementary trades and related occupations",23,24732,9.5,25292,10.2,12959.00,18231.00,19603.00,20717.00,22671.00,26684,28112.00,29744.00,31210.00,x,2023-01-01
