Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"  North West, Skilled agricultural and related trades",10,37.5,-0.4,36.5,-1.1,x,36.00,36.10,36.70,37.00,39.50,x,x,x,x,2020-01-01
"  North West, Skilled metal, electrical and electronic trades",99,39.9,-0.2,39.8,-4.4,35.80,37.00,37.50,37.50,39.00,40.00,40.50,41.80,42.50,45.70,2020-01-01
"  North West, Skilled construction and building trades",24,39.8,-0.5,38.2,-3.2,32.00,36.10,37.00,37.50,38.90,x,x,40.00,40.00,x,2020-01-01
"  North West, Textiles, printing and other skilled trades",41,37,-3.3,32.7,-9.4,16.40,24.00,27.00,30.00,34.60,38.00,40.00,40.00,40.60,x,2020-01-01
"North West, Caring, leisure and other service occupations",269,32,-0.2,29.8,0.8,12.90,18.80,21.00,23.40,28.50,35.00,37.00,37.50,38.00,42.00,2020-01-01
"  North West, Caring personal service occupations",232,32,-1.3,30.2,1,13.00,19.40,21.20,24.00,28.70,35.00,37.00,37.50,38.30,42.80,2020-01-01
"  North West, Leisure, travel and related personal service occupations",37,31.3,4,27.2,-2.4,x,16.00,18.20,21.00,27.40,35.00,37.00,37.40,37.80,x,2020-01-01
"North West, Sales and customer service occupations",224,30,-0.8,27.7,-1.4,12.00,16.00,18.00,20.00,24.00,35.00,37.00,37.50,38.20,40.50,2020-01-01
"  North West, Sales occupations",158,25.2,-4.5,25.9,-2.1,10.30,15.60,16.00,18.40,21.90,30.00,35.40,37.00,37.60,40.00,2020-01-01
"  North West, Customer service occupations",66,36.1,-0.9,31.9,0.5,15.80,21.00,24.90,30.00,35.00,37.40,37.50,38.20,39.90,x,2020-01-01
"North West, Process, plant and machine operatives",152,39.2,-1.9,39.7,-2.4,27.20,35.00,36.60,37.00,38.00,40.00,42.80,45.00,46.70,51.40,2020-01-01
"  North West, Process, plant and machine operatives",68,38.2,-2.1,38.3,-0.9,31.00,35.30,36.50,37.00,37.50,39.10,40.00,40.00,41.50,46.10,2020-01-01
"  North West, Transport and mobile machine drivers and operatives",84,40,-5.2,40.8,-3.8,23.20,34.80,36.90,37.50,39.00,43.80,46.50,48.00,49.80,55.60,2020-01-01
"North West, Elementary occupations",263,30,-0.1,26.4,-4.9,7.50,11.70,14.00,16.00,21.60,35.60,37.70,39.00,40.00,43.50,2020-01-01
"  North West, Elementary trades and related occupations",34,39,-2.5,37.4,-3.2,22.50,33.60,35.90,36.90,37.90,40.00,40.00,41.40,43.60,x,2020-01-01
"  North West, Elementary administration and service occupations",228,24.6,-6.9,24.7,-5.9,7.00,10.50,12.50,15.00,18.60,32.50,37.00,37.80,39.50,42.20,2020-01-01
Yorkshire and The Humber,2053,37,0,32.7,-1.3,15.20,23.80,27.60,30.50,35.00,37.50,37.90,39.10,40.00,42.50,2020-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",209,37.5,0,36.2,-1.1,25.50,35.00,35.00,36.80,37.00,38.80,40.00,40.00,40.00,42.90,2020-01-01
"  Yorkshire and The Humber, Corporate managers and directors",175,37.5,0,36.2,-1,26.90,35.00,35.00,36.90,37.00,38.50,40.00,40.00,40.00,42.90,2020-01-01
"  Yorkshire and The Humber, Other managers and proprietors",35,37.5,0,36.1,-1.6,23.60,31.50,35.00,36.00,37.00,39.00,40.00,40.00,40.70,x,2020-01-01
"Yorkshire and The Humber, Professional occupations",414,37,0,33.3,0,20.90,28.00,32.00,32.50,35.00,37.00,37.50,37.50,37.50,40.00,2020-01-01
"  Yorkshire and The Humber, Science, research, engineering and technology professionals",97,37.5,0,37.3,0.1,35.00,36.80,37.00,37.00,37.30,37.50,37.70,38.50,40.00,x,2020-01-01
"  Yorkshire and The Humber, Health professionals",111,37.5,0,33.6,0.2,18.80,26.40,29.80,30.70,35.10,37.50,37.50,37.50,39.30,42.10,2020-01-01
"  Yorkshire and The Humber, Teaching and educational professionals",110,32.5,0.1,28.8,0.6,14.50,x,24.20,26.00,32.00,32.50,x,32.50,35.00,x,2020-01-01
"  Yorkshire and The Humber, Business, media and public service professionals",95,37,0,34.2,-2.8,22.40,34.30,35.00,35.00,36.80,37.00,37.40,37.50,37.50,x,2020-01-01
"Yorkshire and The Humber, Associate professional and technical occupations",295,37,-0.7,35.3,-0.2,24.00,34.00,35.00,35.00,37.00,37.50,38.10,39.90,40.00,41.10,2020-01-01
"  Yorkshire and The Humber, Science, engineering and technology associate professionals",50,37.5,0,37.2,-1,29.90,35.60,36.90,37.00,37.00,37.50,39.40,40.00,40.00,x,2020-01-01
"  Yorkshire and The Humber, Health and social care associate professionals",35,36.9,-0.2,31.8,2.6,19.40,22.50,24.90,29.40,32.50,37.00,37.00,37.00,x,x,2020-01-01
"  Yorkshire and The Humber, Protective service occupations",27,40,0,39.6,1,36.50,37.50,x,x,x,x,40.00,41.40,42.00,x,2020-01-01
"  Yorkshire and The Humber, Culture, media and sports occupations",16,35.4,8.6,29.6,9.7,x,x,x,x,31.70,37.00,37.50,38.00,x,x,2020-01-01
"  Yorkshire and The Humber, Business and public service associate professionals",167,37,-1,35.4,-1.8,25.80,35.00,35.00,35.00,37.00,37.50,37.50,38.40,39.90,40.00,2020-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",214,35,0,30.6,0.2,13.90,20.00,22.50,25.90,32.00,37.00,37.40,37.50,37.50,40.00,2020-01-01
"  Yorkshire and The Humber, Administrative occupations",175,36.2,-1.8,31.5,-0.3,15.00,21.00,24.10,29.50,34.70,37.00,37.50,37.50,37.90,40.00,2020-01-01
"  Yorkshire and The Humber, Secretarial and related occupations",40,30,7.1,26.7,0.6,9.20,16.00,19.00,21.00,24.00,34.00,35.70,37.00,37.30,x,2020-01-01
