Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"  North East, Administrative occupations",94,11.14,0.9,12.52,-1.4,8.73,9.65,9.94,10.15,10.62,12.29,13.42,13.84,14.32,16.63,2020-01-01
"  North East, Secretarial and related occupations",15,9.8,2.5,10.71,-0.2,8.50,8.73,8.87,9,9.48,10.51,10.96,11.62,12.35,x,2020-01-01
"North East,  Skilled trades occupations",71,12.47,-3.1,13.43,-2.5,8.20,9.09,9.60,10.23,11.23,13.58,14.48,15.03,15.93,x,2020-01-01
"  North East, Skilled metal, electrical and electronic trades",38,13.73,-6.7,14.66,-3.6,8.67,10.41,11.20,11.75,12.78,14.73,16.00,16.45,17.47,x,2020-01-01
"  North East, Skilled construction and building trades",14,13.13,-3.8,13.01,-6.6,x,10.13,10.53,11.01,12.29,13.97,14.14,14.39,x,x,2020-01-01
"  North East, Textiles, printing and other skilled trades",16,9.27,-5.6,10.82,2,7.04,8.40,x,8.72,8.94,9.89,10.51,x,x,x,2020-01-01
"North East,  Caring, leisure and other service occupations",86,9.94,5.1,10.56,2.5,8.34,8.80,8.99,9.16,9.57,10.41,11.00,11.49,12.05,13.18,2020-01-01
"  North East, Caring personal service occupations",75,9.97,4.4,10.6,3.9,8.52,8.86,9.07,9.27,9.61,10.44,11.07,11.58,12.08,13.15,2020-01-01
"  North East, Leisure, travel and related personal service occupations",11,9.53,5,10.24,-5.9,x,7.08,8.05,8.56,8.85,10.11,10.90,x,x,x,2020-01-01
"North East,  Sales and customer service occupations",80,9.51,5.9,10.8,5.5,7.56,8.72,8.72,8.85,9.18,9.93,10.53,10.91,11.37,x,2020-01-01
"  North East, Sales occupations",53,9.21,6.5,10.19,5.9,7.40,8.64,8.72,8.72,9,9.51,9.70,10.11,10.66,x,2020-01-01
"  North East, Customer service occupations",27,10.47,2.9,11.81,5.3,8.43,9.10,9.18,9.51,10.15,10.91,11.55,12.15,12.88,x,2020-01-01
"North East,  Process, plant and machine operatives",60,10.94,-0.8,12.01,0.1,8.21,8.74,9.00,9.25,10.03,11.93,12.82,14.06,15.41,x,2020-01-01
"  North East, Process, plant and machine operatives",33,11.74,1.8,12.68,1.7,8.63,8.75,9.11,9.38,10.22,13.48,14.98,15.79,16.26,x,2020-01-01
"  North East, Transport and mobile machine drivers and operatives",26,10.34,-2.5,11.21,-1.7,7.92,8.72,8.86,9.04,9.75,10.97,11.61,12.15,12.32,x,2020-01-01
"North East,  Elementary occupations",88,9.15,3,10.2,0.5,6.57,7.70,8.21,8.7,8.77,9.39,9.93,10.30,10.82,12.83,2020-01-01
"  North East, Elementary trades and related occupations",13,9.5,-9.8,10.22,-8,7.40,8.66,x,8.72,9,10.08,10.65,10.90,x,x,2020-01-01
"  North East, Elementary administration and service occupations",75,9.1,4.4,10.2,2.5,6.57,7.52,8.21,8.64,8.75,9.36,9.77,10.05,10.67,x,2020-01-01
North West,2653,12.9,3.2,16.36,2.1,8.72,9.29,9.70,10.09,11.26,15.17,17.90,19.47,21.43,27.16,2020-01-01
"North West, Managers, directors and senior officials",253,18.91,-0.2,23.19,-2.5,9.47,11.57,12.82,14.26,16.55,21.28,25.66,28.15,30.94,40.03,2020-01-01
"  North West, Corporate managers and directors",212,20.05,-0.9,24.49,-3,9.69,12.83,14.30,15.34,17.98,23.32,26.86,29.92,32.33,41.67,2020-01-01
"  North West, Other managers and proprietors",40,12.15,-10.2,16.46,-2.5,8.90,9.55,9.97,10.33,11.5,15,17.20,18.64,19.95,x,2020-01-01
"North West, Professional occupations",603,21.15,2.6,22.36,0.5,13.03,15.67,16.48,17.28,19.31,22.97,25.00,26.33,27.72,32.93,2020-01-01
"  North West, Science, research, engineering and technology professionals",115,20.64,0.3,21.21,-1,11.78,14.51,15.49,16.85,18.71,22.53,24.53,25.64,27.15,30.69,2020-01-01
"  North West, Health professionals",177,19.94,2.7,22.67,0.9,13.90,15.84,16.29,17.11,18.94,22.25,23.49,24.91,26.42,31.92,2020-01-01
