date,fuel,price,dayofquery,Car,MY,Category,ppm,UniqueID,fuelingcategory,DirectDebitComparison,DirectDebitComparisonNight
2021-01-26,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-26,Petrol,119.31,2021-01-26,Mini Cooper (3-door),2021,City Car,12.47,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-26,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-27,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-27,Petrol,119.78,2021-01-27,Mini Cooper (3-door),2021,City Car,12.52,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-27,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-28,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-28,Petrol,119.85,2021-01-28,Mini Cooper (3-door),2021,City Car,12.53,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-28,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-01-29,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-01-29,Petrol,120.01,2021-01-29,Mini Cooper (3-door),2021,City Car,12.54,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-01-29,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-01,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-01,Petrol,120.00,2021-02-01,Mini Cooper (3-door),2021,City Car,12.54,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-01,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-02,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-02,Petrol,120.22,2021-02-02,Mini Cooper (3-door),2021,City Car,12.56,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-02,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-03,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-03,Petrol,120.22,2021-02-03,Mini Cooper (3-door),2021,City Car,12.56,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-03,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-04,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-04,Petrol,120.22,2021-02-04,Mini Cooper (3-door),2021,City Car,12.56,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-04,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-05,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-05,Petrol,120.22,2021-02-05,Mini Cooper (3-door),2021,City Car,12.56,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-05,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-08,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-08,Petrol,120.67,2021-02-08,Mini Cooper (3-door),2021,City Car,12.61,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-08,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-09,mean rapid charger,42.25,2021-01-17,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-09,Petrol,120.77,2021-02-09,Mini Cooper (3-door),2021,City Car,12.62,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-09,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
