REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,33.48
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,30.42
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,51.94
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,37.14
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,56.74
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,866.80
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,1281.72
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,1398.99
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,1282.94
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,1018.81
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,711.62
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,33.28
GEO,Georgia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,1732.92
GEO,Georgia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,1582.28
GEO,Georgia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,1673.91
GEO,Georgia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,965.67
GEO,Georgia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,1738.60
BIH,Bosnia and Herzegovina,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,5.12
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,7.93
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,8.46
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,6.84
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,7.10
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,6.85
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,10.72
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,10.73
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,8.29
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,8.80
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,9.04
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,8.92
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,9.22
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.36
