REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.66
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,9.19
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,6.61
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,8.22
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,8.27
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,3.13
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,3.41
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,6.42
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,10.65
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,2.44
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,3.16
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,3.61
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,3.24
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,3.96
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,11.08
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,11.14
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,11.21
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,3.59
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,3.86
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,3.40
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,4.76
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,5.65
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,12.15
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,14.16
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,13.65
DNK,Denmark,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,7.10
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.60
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,5.00
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.36
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,4.17
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,11.31
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,11.62
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,12.02
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,4.24
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,5.59
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,5.18
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,5.94
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,6.49
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,7.15
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,7.41
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,7.83
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,8.39
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,9.69
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.95
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,10.22
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,3.73
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,3.98
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.03
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,13.43
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,13.88
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,15.14
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,15.99
DEU,Germany,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,4.60
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,17.18
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,16.40
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,16.62
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.27
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,33.63
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,38.96
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,50.91
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.62
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.21
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,4.97
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,5.92
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,8.36
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,11.14
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,12.67
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,24.86
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,6.09
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,5.79
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,7.54
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,7.52
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,6.03
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,12.33
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,14.44
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,15.00
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,14.14
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,5.53
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,5.62
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,5.16
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,6.11
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,6.59
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,6.49
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,6.50
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,6.68
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,6.75
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,7.46
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,7.36
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,7.58
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,3.36
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,3.54
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,3.32
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,8.31
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,8.48
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,8.76
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,9.01
GBR,United Kingdom,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,3.54
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.70
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.83
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,4.38
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,4.56
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,4.63
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,4.31
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.33
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,11.30
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,4.44
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,4.47
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,4.39
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,10.22
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,9.99
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,10.84
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,12.11
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,11.94
NLD,Netherlands,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,4.73
MNE,Montenegro,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,24.97
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,8.89
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,9.80
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,5.98
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,4.44
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,6.84
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,31.67
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,36.38
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,45.21
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,11.93
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,9.46
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,11.63
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,14.10
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,20.27
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,23.41
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,21.09
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,21.53
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,22.11
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,32.59
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,30.44
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,4.75
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,5.33
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.46
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,63.17
EST,Estonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,6.72
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,16.80
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,16.51
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,12.76
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,13.96
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,14.32
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,37.55
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,36.39
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,14.73
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,16.96
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,17.11
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,19.30
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,19.36
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,23.03
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,29.74
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,32.93
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,34.24
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,35.44
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,37.95
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,42.95
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,39.75
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,11.67
HUN,Hungary,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,10.99
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,19.34
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,20.28
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,14.55
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,14.01
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,47.30
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,46.32
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,48.94
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,60.57
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,20.31
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,25.72
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,30.37
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,28.65
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,29.92
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,29.91
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,31.31
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,38.48
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,37.50
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,42.39
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,12.45
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,11.94
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,6.91
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,6.50
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,6.67
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,7.26
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,7.88
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,8.55
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,8.93
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,9.19
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.95
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,10.32
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,4.88
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.99
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,5.22
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,11.97
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,12.45
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,13.94
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,641.39
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,626.58
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,514.66
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,467.13
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,153.07
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,151.99
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,156.96
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,155.33
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,391.89
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,361.06
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,192.46
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,291.67
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,325.02
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,320.34
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,396.58
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,399.84
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,500.00
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,374.16
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,411.59
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,618.09
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,620.03
MDA,Moldova,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,550.91
JPN,Japan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,14.13
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,94.43
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,105.86
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,16.42
HRV,Croatia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,15.07
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,10.77
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,2.70
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,5.35
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,5.55
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,5.98
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,6.21
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,11.31
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1997,11.35
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,3.39
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,3.39
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,6.27
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,6.99
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,8.80
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,9.52
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,9.04
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,3.00
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,3.60
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,3.24
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,3.87
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,3.78
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.26
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,5.56
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,12.08
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,13.62
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,13.56
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,6.45
CHE,Switzerland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,9.69
SWE,Sweden,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,3.34
ARM,Armenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,524.56
LVA,Latvia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,10.09
TUR,Türkiye,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,18.15
MLT,Malta,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,5.74
NOR,Norway,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,3.36
UKR,Ukraine,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,320.66
BEL,Belgium,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,9.73
ROU,Romania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,31.81
CZE,Czechia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,14.23
IRL,Ireland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,4.38
MKD,North Macedonia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,22.11
AZE,Azerbaijan,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,64.48
GEO,Georgia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,1584.62
BIH,Bosnia and Herzegovina,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,5.47
USA,United States,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,7.07
FIN,Finland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,4.19
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,17.89
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,4.40
MEX,Mexico,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,5.04
NZL,New Zealand,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,7.31
LTU,Lithuania,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,11.69
SVN,Slovenia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,23.45
ISR,Israel,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,10.15
ISL,Iceland,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,10.00
CAN,Canada,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,4.43
PRT,Portugal,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,13.61
